id;date;exercise;meals;alcohol;note;user_id
1;2021-10-05;79654;95071;18343;multi-byte Savings Account Dam;1
2;2021-10-05;45924;86617;33370;Metal deposit;1
3;2021-10-04;72199;83244;93855;Electronics;2
4;2021-10-05;61748;30424;61165;Grocery Home;2
5;2021-10-05;39986;13949;4666;Coordinator;1
6;2021-10-05;9060;78517;61838;syndicate;2
7;2021-10-05;46676;4645;85994;Yuan Renminbi Centers;1
8;2021-10-04;94220;96563;56328;envisioneer Music Public-key;1
9;2021-10-05;68326;12203;60999;backing up Salad;1
10;2021-10-05;18223;66252;75536;convergence;1
